,month,month_full,year,no_of_rainy_days,total_rainfall,mean_relative_humidity,mean_sunshine_hrs,mean_surface_temp,wet_bulb_temperature
101,1990-06-01,Jun,1990,9,112.6,80.7,6.3,28.3,25.693888888888885
102,1990-07-01,Jul,1990,12,124.0,82.7,5.9,27.5,25.131048387096776
103,1990-08-01,Aug,1990,13,146.6,82.3,5.8,28.0,25.5747311827957
104,1990-09-01,Sep,1990,17,204.5,83.2,5.1,27.2,24.9775
105,1990-10-01,Oct,1990,12,56.4,83.5,5.9,27.5,25.24516129032258
106,1990-11-01,Nov,1990,17,180.4,83.5,4.6,27.2,24.983611111111113
107,1990-12-01,Dec,1990,16,201.1,86.0,5.5,26.3,24.47231182795699
108,1991-01-01,Jan,1991,13,123.9,84.1,5.6,26.7,24.58454301075269
109,1991-02-01,Feb,1991,7,45.5,81.6,7.0,27.1,24.620386904761908
110,1991-03-01,Mar,1991,10,92.4,79.9,7.1,27.8,25.046370967741936
111,1991-04-01,Apr,1991,13,134.2,84.3,5.8,27.7,25.61513888888889
112,1991-05-01,May,1991,23,256.4,86.6,5.1,27.7,25.91021505376344
113,1991-06-01,Jun,1991,9,88.7,81.0,7.1,28.6,25.97041666666667
114,1991-07-01,Jul,1991,8,37.3,78.7,6.7,28.5,25.533736559139783
115,1991-08-01,Aug,1991,8,226.2,79.8,5.3,28.2,25.4
116,1991-09-01,Sep,1991,12,123.1,83.0,4.1,27.5,25.269305555555558
117,1991-10-01,Oct,1991,5,52.0,81.4,4.2,27.5,24.985483870967744
118,1991-11-01,Nov,1991,19,205.0,86.5,3.5,26.3,24.49291666666667
119,1991-12-01,Dec,1991,19,492.3,90.7,3.0,25.6,24.43938172043011
120,1992-01-01,Jan,1992,9,83.9,82.4,6.6,26.6,24.29274193548387
121,1992-02-01,Feb,1992,4,62.4,80.5,7.7,27.5,24.784913793103446
122,1992-03-01,Mar,1992,6,67.6,80.6,7.4,28.2,25.50577956989247
123,1992-04-01,Apr,1992,13,160.3,82.4,6.4,28.4,25.965
124,1992-05-01,May,1992,13,63.1,83.3,5.7,28.1,25.8505376344086
125,1992-06-01,Jun,1992,14,162.8,82.7,5.5,28.0,25.671666666666663
126,1992-07-01,Jul,1992,19,290.8,83.8,4.7,27.3,25.1630376344086
127,1992-08-01,Aug,1992,11,76.1,81.1,5.7,27.8,25.18978494623656
128,1992-09-01,Sep,1992,13,83.6,82.9,5.0,27.3,25.035694444444445
129,1992-10-01,Oct,1992,20,233.2,82.0,4.5,27.4,24.988306451612903
130,1992-11-01,Nov,1992,18,474.3,87.7,3.7,26.1,24.479999999999997
131,1992-12-01,Dec,1992,23,502.7,90.3,3.4,25.5,24.283467741935485
132,1993-01-01,Jan,1993,11,176.4,85.7,5.5,26.2,24.335752688172043
133,1993-02-01,Feb,1993,8,69.2,80.5,8.5,26.7,24.083035714285714
134,1993-03-01,Mar,1993,14,250.5,86.3,5.4,26.7,24.861021505376343
135,1993-04-01,Apr,1993,20,283.9,84.5,6.4,27.6,25.485416666666666
136,1993-05-01,May,1993,10,129.9,82.9,6.0,28.2,25.850403225806453
137,1993-06-01,Jun,1993,17,115.5,80.9,6.2,28.5,25.831666666666667
138,1993-07-01,Jul,1993,15,240.0,83.2,5.2,27.9,25.60470430107527
139,1993-08-01,Aug,1993,11,106.8,79.4,7.4,28.6,25.729032258064517
140,1993-09-01,Sep,1993,7,61.7,81.4,5.9,27.9,25.335
141,1993-10-01,Oct,1993,13,175.5,84.3,5.2,27.5,25.36599462365591
142,1993-11-01,Nov,1993,18,250.8,87.4,4.7,26.9,25.185555555555553
143,1993-12-01,Dec,1993,19,308.5,87.4,4.2,26.5,24.86532258064516
144,1994-01-01,Jan,1994,7,56.9,82.1,6.1,26.9,24.526344086021503
145,1994-02-01,Feb,1994,15,133.5,84.5,6.4,27.0,24.952976190476193
146,1994-03-01,Mar,1994,19,288.2,87.1,3.5,26.8,25.100403225806453
147,1994-04-01,Apr,1994,15,154.0,84.8,5.8,27.9,25.803333333333335
148,1994-05-01,May,1994,16,169.6,84.8,5.0,28.1,26.023655913978494
149,1994-06-01,Jun,1994,14,184.7,83.5,6.0,28.1,25.833194444444448
150,1994-07-01,Jul,1994,6,53.8,78.9,7.6,28.4,25.547580645161293
151,1994-08-01,Aug,1994,12,45.1,80.0,6.5,28.1,25.402419354838713
152,1994-09-01,Sep,1994,6,23.7,78.7,3.8,28.3,25.410833333333333
153,1994-10-01,Oct,1994,11,84.7,81.5,4.5,27.9,25.294758064516127
154,1994-11-01,Nov,1994,21,322.2,88.4,4.5,26.7,25.15263888888889
155,1994-12-01,Dec,1994,18,425.4,85.5,5.3,26.9,24.94327956989247
156,1995-01-01,Jan,1995,21,349.4,86.2,5.0,26.8,24.95779569892473
157,1995-02-01,Feb,1995,16,334.0,87.5,4.9,26.5,24.79925595238095
158,1995-03-01,Mar,1995,10,67.7,83.9,5.9,27.6,25.396102150537637
159,1995-04-01,Apr,1995,16,242.3,85.3,5.6,27.9,25.946805555555557
160,1995-05-01,May,1995,11,84.4,83.7,6.0,28.5,26.279301075268815
161,1995-06-01,Jun,1995,12,63.7,81.9,6.6,28.9,26.335694444444446
162,1995-07-01,Jul,1995,13,173.6,82.6,5.2,28.0,25.65215053763441
163,1995-08-01,Aug,1995,21,211.6,85.6,4.1,27.4,25.47271505376344
164,1995-09-01,Sep,1995,7,29.5,81.6,5.8,28.3,25.764305555555556
165,1995-10-01,Oct,1995,12,101.1,82.8,4.7,27.8,25.463575268817205
166,1995-11-01,Nov,1995,20,372.8,86.8,3.7,27.0,25.218611111111112
167,1995-12-01,Dec,1995,20,302.5,86.6,3.1,26.3,24.549059139784948
168,1996-01-01,Jan,1996,10,173.2,84.2,5.2,26.2,24.08521505376344
169,1996-02-01,Feb,1996,11,180.2,84.6,5.8,26.5,24.44942528735632
170,1996-03-01,Mar,1996,8,129.7,81.0,7.7,27.8,25.12889784946237
171,1996-04-01,Apr,1996,15,178.2,85.5,5.4,27.8,25.83888888888889
172,1996-05-01,May,1996,15,107.5,83.7,7.0,28.5,26.278494623655916
173,1996-06-01,Jun,1996,15,265.8,84.3,5.9,28.3,26.14916666666667
174,1996-07-01,Jul,1996,10,162.3,81.9,6.7,28.3,25.853763440860217
175,1996-08-01,Aug,1996,18,258.4,83.4,5.0,27.4,25.179032258064517
176,1996-09-01,Sep,1996,18,297.0,82.2,4.8,27.7,25.317222222222224
177,1996-10-01,Oct,1996,19,300.0,83.0,4.3,27.5,25.179973118279573
178,1996-11-01,Nov,1996,16,180.2,83.5,4.4,27.3,25.067777777777778
179,1996-12-01,Dec,1996,15,185.5,82.9,4.5,26.6,24.34032258064516
180,1997-01-01,Jan,1997,3,15.4,77.3,7.7,27.1,23.996774193548386
181,1997-02-01,Feb,1997,8,105.4,80.8,4.9,27.4,24.758482142857144
182,1997-03-01,Mar,1997,10,34.3,79.6,7.0,28.1,25.227688172043013
183,1997-04-01,Apr,1997,12,118.4,82.7,5.6,28.1,25.68263888888889
184,1997-05-01,May,1997,6,41.6,77.7,6.7,29.3,26.157526881720432
185,1997-06-01,Jun,1997,12,78.9,76.7,7.3,29.3,25.96847222222222
186,1997-07-01,Jul,1997,9,18.6,76.5,6.5,28.8,25.524327956989247
187,1997-08-01,Aug,1997,9,86.6,78.2,5.7,28.8,25.7252688172043
188,1997-09-01,Sep,1997,3,31.1,77.0,3.2,28.8,25.580277777777777
189,1997-10-01,Oct,1997,8,78.4,81.0,3.2,28.2,25.561693548387098
190,1997-11-01,Nov,1997,13,158.3,82.8,5.4,27.8,25.43972222222222
191,1997-12-01,Dec,1997,23,351.9,85.3,5.3,27.3,25.358467741935485
192,1998-01-01,Jan,1998,13,268.8,83.2,7.4,28.0,25.736424731182797
193,1998-02-01,Feb,1998,5,32.5,78.3,8.9,28.9,25.87827380952381
194,1998-03-01,Mar,1998,7,58.8,77.8,7.6,29.5,26.263440860215052
195,1998-04-01,Apr,1998,13,187.7,81.8,6.7,29.2,26.697222222222223
196,1998-05-01,May,1998,18,370.8,82.3,5.9,29.4,26.913978494623656
197,1998-06-01,Jun,1998,15,198.8,82.1,5.3,28.6,26.106944444444444
198,1998-07-01,Jul,1998,18,259.2,81.8,5.1,28.1,25.640860215053763
199,1998-08-01,Aug,1998,18,195.0,85.4,4.6,27.5,25.504435483870967
200,1998-09-01,Sep,1998,17,258.2,84.1,4.5,27.9,25.755277777777778
201,1998-10-01,Oct,1998,20,222.7,82.3,5.0,28.0,25.591397849462364
202,1998-11-01,Nov,1998,11,107.2,81.9,4.6,27.9,25.448749999999997
203,1998-12-01,Dec,1998,22,463.4,88.5,3.1,26.6,25.08508064516129
204,1999-01-01,Jan,1999,19,193.9,88.3,3.9,26.6,25.05483870967742
205,1999-02-01,Feb,1999,9,67.4,82.4,6.7,27.2,24.86636904761905
206,1999-03-01,Mar,1999,16,181.4,87.5,4.3,27.1,25.45228494623656
207,1999-04-01,Apr,1999,14,88.5,82.6,5.8,28.3,25.886805555555554
208,1999-05-01,May,1999,13,157.1,84.4,5.7,28.0,25.910618279569892
209,1999-06-01,Jun,1999,13,103.4,81.9,6.0,28.2,25.735972222222223
210,1999-07-01,Jul,1999,11,225.4,82.7,6.8,27.8,25.40255376344086
211,1999-08-01,Aug,1999,13,204.0,84.1,5.7,27.5,25.37244623655914
212,1999-09-01,Sep,1999,13,125.9,81.7,6.5,27.9,25.40402777777778
213,1999-10-01,Oct,1999,20,205.0,84.6,4.7,27.2,25.106182795698924
214,1999-11-01,Nov,1999,19,241.5,84.4,4.7,27.3,25.14402777777778
215,1999-12-01,Dec,1999,17,340.5,85.3,4.1,26.8,24.823924731182796
216,2000-01-01,Jan,2000,14,275.2,86.9,4.0,26.3,24.6377688172043
217,2000-02-01,Feb,2000,18,237.8,86.5,5.8,26.6,24.785344827586204
218,2000-03-01,Mar,2000,15,238.3,85.8,5.8,27.2,25.315188172043012
219,2000-04-01,Apr,2000,20,311.6,85.6,5.3,27.5,25.554305555555555
220,2000-05-01,May,2000,10,96.8,82.4,6.8,28.6,26.170698924731184
221,2000-06-01,Jun,2000,16,157.5,84.3,4.6,27.6,25.51236111111111
222,2000-07-01,Jul,2000,12,116.1,82.6,6.5,28.1,25.746370967741935
223,2000-08-01,Aug,2000,18,113.5,83.8,5.1,27.5,25.354569892473116
224,2000-09-01,Sep,2000,12,81.1,82.2,6.2,28.0,25.6075
